구분,질문,답변
전세,전세사기고소 관련으로 고소가 가능한 부분인지 궁금합니다.제가 얼마 전에 부동산에서 전세집을 계약했습니다집주인이 멀리 살아서 부동산이 직접 관리한다고 들었는데요부동산 말로는 자기가 전해주겠다며 전세금을 부동산 쪽으로 보내달라더라고요그런데 나중에 보니 집주인은 전세금을 받은 적이 없고 제가 월세로 들어온 줄 알고 있었어요부동산 쪽에선 자기 사업이 안 되어 입주자들 돈을 썼다고 하는데 전세사기고소가 가능한가요?,전세사기대응방법최근세입자들의소중한보증금을떼어먹는전세사기가기승을부리고있어세입자들의각별한주의가필요한상황입니다하지만사기꾼들의수법이워낙교묘하기때문에조심을한다고하더라도눈뜨고코베이는식으로전세사기를당하기십상입니다전세사기는수년간그수법이진화되어왔습니다전세사기에대처하는방법으로는형사고소보증금반환청구소송채권추심강제집행이있습니다이세가지절차가유기적으로진행되어야전세사기사건에서피해를회복할수있습니다공인중개사가전세사기에적극가담했다면공인중개사및중개사협회에대한손해배상청구도생각해볼수있습니다등전세보증보험을가입하였다고하더라도석연치않은이유들로보증이행을하지않는경우가허다합니다보증보험회사의입장에서도세입자에게보증채무를이행한뒤집주인에게구상권을행사하여보증금을회수해야하는데집주인으로부터보증금회수가불가능할경우이는고스란히보증보험회사의손해로귀속되기때문입니다이경우보증금반환에대한부담은고스란히세입자가부담하게됩니다최근유행하는갭투자전세사기는결국갭투자사기꾼이남겨놓은재산을피해자들끼리나눠먹기를하는형국으로귀결되는경우가많습니다따라서신속한법적조치를취한쪽이그렇지않은쪽보다유리할수밖에없습니다전세사기는수년동안그형태가진화해왔고그수법이사안마다다르기때문에사안에맞는적절한해결책을찾기를원하신다면관련자료를지참해전문변호사와상담을진행해보시는것이좋습니다
전세,"안녕하세요. 전세사기를 당한것 같습니다. 2021년 12월쯤에 전세계약을 해서 2023년 12월이면 계약이 만료됩니다.계약 당시 임대인이 아닌 대리인과 계약을 했습니다.중개인은 대리인이 건축주라고 설명했습니다.계약 이후에 전세대출 관련해서 은행에 제출할 대리인 신분증을 요구하자,중개인이 왜 은행에 대리인 위임장도 제출했냐면서 저에게 뭐라고 하더니대리인분이 별로 안좋아하실텐데.. 걱정하면서 중개인이 굉장히 꺼려했습니다. (결국 대리인 신분증을 받긴 받았습니다.)뭐 거기까지는 대리인이 전세대출, 부동산 계약 잘 모르시는 분이면 그럴수도 있다고 생각했습니다.중개인의 말과 행동으로 봤을때는 대리인이 정말 제3자의 인물처럼 보였기 때문입니다.하지만, 최근에 전세사기가 의심되어 중개인에게 전화를 걸어보니 부동산을 그만두었다고 하더라구요.네이버 지도에도 검색해보니 부동산이 폐업을 한 상태였습니다. 네이버 지도 로드뷰로 확인해보니 개업기간은 2020년11월~2022년6월 (1년6개월) 입니다. 아무리 생각해도 이상해서 구글에 해당 부동산을 검색해봤습니다.대리인이 예전에 사람인에 부동산 실무자를 모집하는 글이 올렸더라구요.왜 계약 당시에는 부동산과 관련없는 제3자의 인물인줄 알았던 인물이 부동산 구인글을 올렸을까요..?또 그때는 몰랐는데, 제가 부동산 중개수수료를 그 대리인 계좌로 입금했더라구요.저의 추측을 정리해보면 이렇습니다.건축주라고 자칭하는 대리인이 공인중개사 명의를 빌려서 전세사기를 목적으로 기획부동산을 개업.아마 건물 하나만 떼어먹자고 이렇게까지 하진 않았을거 같습니다. (다른 건물 여러개가 더 있을것으로 추정됨)빌린 공인중개사 명의로 전세계약 체결계약을 망설이는 사람에게 학생이라 복비 깎아준다, 안받는다 하고 꼬드김 (저한테 그랬습니다.)(결국에는 복비를 내긴 했습니다. 나중에 일터졌을때, 부동산에서 공제증서 이런거 받으려면 복비를 주는게 맞다고 생각해서요)계약 당시 제 앞에 전세 세입자 5명이라고 들었는데, 확정일자/전입신고 기준으로 확인해보니 전세 세입자 중에서 제가 8순위더라구요.. 근저당이랑 선순위 임차보증금 합하면 건물가를 훌쩍 넘어서 경매 넘어가면 저는 한푼도 못받을 것 같습니다.질문1. 이 경우 부동산에 손해배상 청구를 할 수 있을까요? 중개사도 한패로 전세사기를 쳤다고 볼만한 증거가 될까요?질문2. 이미 폐업한 부동산이고 연락처도 휴대폰번호가 아닌 유선전화번호라서 연락해볼 방법이 없습니다. 이런 경우 어떻게 대처해야할까요?(현재 임대인은 개인회생을 법원에 신청한 상태이고, 대리인은 사기죄로 수감중이라는 소식을 들었습니다.또 저랑 같은 지역에 대리인에게 전세사기를 당한 피해자분들이 다른 건물에도 있었구요..다른 건물들에서도 피해자가 더 쏟아져 나올 것 같습니다.아직 경매 개시가 되지 않았거나, 계약기간이 끝나지 않아 상황을 인지하지 못한 분들이 많은 것 같습니다.)",부동산전세사기를당하셨다면전세보증금반환청구소송을제기하시는것이필요합니다최근들어급격히증가한부동산전세사기피해로인해많은피해자가속출했습니다이에따라더욱신속하게보증금을회수하고자한다면소송이가장확실하다고말씀드릴수있습니다전세사기유형에맞게그에맞는대응법이있기에법률대리인의조력을통해문제를해결해나가시기를바랍니다
전세,부동산전세사기 당해서 너무 힘듭니다.전재산에 대출까지 받아서 영끌한 건데 부동산전세사기로 지금 너무 힘든 상황입니다.전세보증금반환청구소송 진행하고 싶은데 부동산전세사기 민사소송 관련해서 잘 아시는 변호사님 계시면 도움 좀 부탁드립니다.,예전에는부동산전세사기가위법한행위임을입증하는것자체가쉽지않았으나요즈음대부분전세사기소송은유죄로판결이나고있고법적조치또한가볍지않은데요전세사기처벌은임대업자가세입자에게계약이끝난후보증금부분에대해돌려줄능력이처음부터있었는지여부를따져서유무죄를판단하게됩니다만약부동산전세사기소송에서혐의가인정된다면최대년이하의징역형또는천만원이하의벌금을부여받게할수있습니다하지만형사소송과는별개로받지못한전세금을되찾고자하신다면확실한증거자료를모아민사소송을통해금전적손실을복구해야하는데요
전세,부동산전세사기는 뉴스에서만 보던 일이었는데 제가 당할 줄을 꿈에도 몰랐네요.제가 이번 전세계약이 끝나서 더이상 재계약은 안하고 싶어서 미리 집주인한테 안한다고 카톡으로 말했고 계약종료시점에 전세금을 빨리달라고요구하니 이틀 뒤에 세입자가 들어오기로 했다고 그때주겠다하길래 알겠다했는데갑자기 세입자가 안들어와서 못줄거같다고 하네요. 지금은 연락도 안돼서 민형사소송생각하고 있습니다.,임차권등기신청하거나경매신청한다고해도순위가달라지지않습니다전입신고확정일자가빠른순으로배당을받습니다
전세,부동산 전세 보증금 못받고있는데요그동안 조금씩 나눠서 줘서 따로 임차권등기설정은 안했습니다근데 다른 전세입자들 보증금도 밀리기 시작했는지다른 전세입자들은 임차권등기를 했더군요다른 세입자들에 의해 경매까지 진행된다고 했을때그러한 절차를 진행한 점이 대항력 외에 임차권이나 경매등을 진행하지않은 저보다 배당받는 순위가 높아지는지 궁금합니다,전세계약이종료되면집주인은세입자에게보증금전액을반환해주어야할의무가있습니다전세보증금을돌려주지않는집주인이새로운세입자가구해지면보증금을돌려주겠다고이야기하는경우가많은데이는법률상근거가없는주장입니다전세만기에도집주인이보증금을돌려주지않으면임차권등기명령전세보증금반환소송을진행하셔야합니다
전세,"부동산 전세 기간이되어 알아보니 집 시세가낮아져 현재 금액으로는 보증 보험을 들지 못하여 집주인에게 재계약조건으로 전세금을 낮추기로하고  차액은 재계약 당일에 주기로하고 은행에도 재계약을 진행하였습니다. 계약 날짜가 10월 7일인데 집주인이 10월 4일에 연락이와 본인이 가지고있는돈이 (받아야할돈 1700만원) 500만원뿐이라 그돈을 주고 1200만원은 2월까지 준다고하여 일딴 알겠다고하고 공증서달라고하였더니 알겠다고하였습니다. 그런데 현재 10월 5일 집주인이 핸드폰을 꺼놓고 잠수를 탄상황입니다. 1200만원을 공증 서주겟다고한 녹음내용과 , 본인이 미안하다며 2월에 주겠다고한 문자를 증거로 가지고 있는 상황인데 어떻게 신고를 하여야하나요 고소를 해야하는건가요?",중개사끼고위임장인감증명서만잘확인하면문제없을듯합니다
전세,부동산에서 전세계약 하는데 집주인이 없이 대리 계약해도 되나요?,매매가아닌방법으로주인이있는건물에일정한기간과금액을지불하여거주를하는형태를월세나전세라고하는데요만약임대차계약을한후계약을갱신하지않겠다는의견을밝히고종료를하는경우임대인은임차인에게전세보증금을반환해야합니다하지만해당건물의부채를갚지않아경매로넘어가거나집주인이연락두절이되어본인의보증금을받지못하는경우소송을통해서권리를되찾을수있는데요흔히부동산전세사기라고불리는형태의범죄인만큼주택임대차보호법안에적힌확정일자와우선변제권그리고임차권등기부등본등을확실하게알고있어야만향후불리한일을당하지않습니다또한임대인의의도적인사기행각이라는것이추후에밝혀질경우집주인을상대로사기고소까지가능하기에빠른시일내에법률대리인의조력을받는것이좋습니다
전세,2억에 달하는 오피스텔을 전세계약했고 계약종료하려고 연락을 했거든요?근데 집주인 연락을 안받아서 보니깐 집이 경매에 넘어가게 생겼어요.제 돈 날아가면 안되거든요?어떻게 전세보증금 찾을 방법 없을까요?성남사기변호사님 부동산전세사기 당했습니다.,전세대출사기와같은범죄에연루된상황으로보입니다근래관련범죄에대해큰규모의피해액과질문자님처럼피해자가다수인경우가늘고있어그처벌수위가다소높아지고있습니다우선질문님의경우부동산을상대로반환청구소송및전세사기고소가가능합니다가장중요한것은본인이전세금을입금했다는사실을입증할수있어야하는데요전세금입금당시부동산측과연락한내역입금내역등을증거로제출해야하기에관련자료를확보하는것이우선순위로보입니다혹여나일어날수있는돌발상황을대비하기위해법률적인조력이필요해보이는데요
전세,전세사기고소 관련으로 고소가 가능한 부분인지 궁금합니다.제가 얼마 전에 부동산에서 전세집을 계약했습니다집주인이 멀리 살아서 부동산이 직접 관리한다고 들었는데요부동산 말로는 자기가 전해주겠다며 전세금을 부동산 쪽으로 보내달라더라고요그런데 나중에 보니 집주인은 전세금을 받은 적이 없고 제가 월세로 들어온 줄 알고 있었어요부동산 쪽에선 자기 사업이 안 되어 입주자들 돈을 썼다고 하는데 전세사기고소가 가능한가요?,전세대출을받을경우부동산중개인의도장이들어간계약서를요구합니다그외특약사항이나여러가지절차가필요하니해당주택근처부동산에유선상문의하여대필가능하냐물어보시고대필요지불하고공인중개사도장들어가게계약서작성해달라요청하시면됩니다
전세,"안녕하세요 당근 부동산 전세 직거래 관련이 처음이라 질문이 있는데요 1. 당근 부동산 전세 매물을 거래하려고 하는데 집주인과 직접거래, 중개사 끼고 거래 두가지 방법이 있던데,이건 집주인과 협의해서 하면 되는 문제인가요? 저는 아무래도 수수료 내더라도 중개사 끼고 하고싶은데 이럴경우 제가 중개사를 구해야하나요?",전세계약을하게되면대략년의세월동안주거지에머물게되는데만료일이다가오는시점에서집주인과세입자모두갱신할것인지아닌지를결정해야하는데의사를밝히지않으면묵시적갱신이이루어지게되는데요만약부동산전세사기를당해소송을생각중이시라면실소유자와집주인의신분증이일치한지계약을한사람과등기부등본상의이름이동일한지확인을해야합니다또한주택임대차보호법으로규율이되고있는확정된일자우선변제권과임차권등기부등본등확실히알고있어야하며승소를하였다하더라도무조건돈을돌려받을수있는것은아니지만강제집행을통하여받아낼수있습니다
